ClientID,ClientName,ClientStartDate,InvoiceMonth,ServiceTier_Contract,ServerCount_Contract,ServerCount_Actual_Avg,SupportTicketCount,BilledAmount_INR
CL-13321,"Taneja, Acharya and Thaman",2014-08-11,2015-11-01,Pro,38,37,,291716.91
CL-87690,Mistry-Wali,2024-01-26,2025-09-01,Pro,37,39,2.0,307047.56
CL-67266,Mannan-Vig,2020-12-12,2025-08-01,Basic,10,10,2.0,39460.6
CL-10868,Patel Inc,2015-11-19,2019-07-01,Pro,37,36,,284008.44
CL-85839,Kapadia and Sons,2019-09-25,2024-11-01,Basic,8,8,0.0,32101.91
CL-36010,"Agate, Deshpande and Kurian",2022-07-23,2024-05-01,Enterprise,69,70,4.0,1040677.66
CL-68853,Khurana Group,2021-04-27,2022-02-01,Basic,12,13,1.0,51868.96
CL-34306,"Mall, Mitra and Contractor",2014-10-07,2022-11-01,Pro,19,19,4.0,151673.73
CL-92628,Palan-Jnai,2015-11-18,2023-04-01,Pro ,19,18,1.0,144811.79
CL-72755,"Krishnan, Nadig and D’Alia",2018-07-03,2019-01-01,Pro,25,22,,178984.1
CL-32944,"Dhillon, Walla and Narayanan",2023-07-21,2023-12-01,Enterprise,88,76,5.0,1152490.88
CL-10606,Ramachandran-Panchal,2018-06-22,2022-08-01,Pro,40,38,3.0,301171.79
CL-54011,Chacko-Korpal,2019-03-21,2021-02-01,Basic,11,11,,43696.98
CL-51132,"Warriro, Yohannan and Dada",2018-12-28,2020-09-01,Basic ,5,5,,20263.59
CL-41706,"Manne, Verma and Gour",2015-12-28,2024-12-01,Pro,31,28,1.0,221494.2
CL-25169,Kakar Group,2016-09-28,2022-01-01,Basic,11,10,0.0,39302.19
CL-85839,Kapadia and Sons,2019-09-25,2020-06-01,Basic,8,9,,35674.91
CL-93734,"Ganguly, Ramanathan and Chahal",2015-01-13,2016-09-01,Pro,29,30,,244165.16
CL-41800,Tiawri-Garde,2020-04-22,2024-07-01,basic,15,15,1.0,61094.26
CL-64897,"Narang, Doshi and Pillay",2016-04-18,2025-09-01,Enterprise,63,63,3.0,943753.03
CL-86840,Manda Ltd,2023-03-16,2024-06-01,Pro,22,22,3.0,176355.31
CL-62756,"Sunder, Sarna and Cheema",2020-07-16,2022-10-01,Basic,15,15,4.0,59747.92
CL-68853,Khurana Group,2021-04-27,2025-05-01,Basic,12,12,6.0,48880.0
CL-92628,Palan-Jani,2015-11-18,2021-04-01,Pro,19,18,,142502.62
CL-51132,"Warrior, Yohannan and Dada",2018-12-28,2025-09-01,Basic,5,5,1.0,19776.01
CL-91761,Rai-Sinha,2020-11-08,2025-01-01,Basic,15,14,3.0,55186.89
CL-47356,Tank Ltd,2017-01-03,2021-06-01,Basic,10,11,,44448.52
CL-61490,"Ghose, Purohit and Natt",2015-01-21,2022-06-01,Basic,6,6,2.0,24051.29
CL-46911,"Sabharwal, Mammen and Wason",2016-04-24,2021-02-01,Basic,6,6,,24215.92
CL-36429,Kothari-Contractor,2015-11-05,2016-07-01,Basic,5,5,,19650.04
CL-31522,"Ramesh, Prashad and Mallick",2017-09-09,2019-04-01,Basic,11,11,,44233.38
CL-99845,Chadha-Patel,2015-12-09,2025-04-01,Basic,13,13,2.0,51223.22
CL-71617,Chacko Ltd,2013-09-29,2018-06-01,Basic,9,10,,40738.58
CL-73851,Atwal-Ravi,2015-04-29,2018-09-01,Enterprise,93,94,,1423356.72
CL-73851,Atwal-Ravi,2015-04-29,2023-10-01,Enterprise,93,93,5.0,1374980.78
CL-79605,"Gole, Varughese and Nadkarni",2016-10-29,2017-12-01,Pro,18,16,,129236.82
CL-99845,Chadha-Patel,2015-12-09,2017-08-01,Basic,13,13,,52626.24
CL-41800,Tiwari-Garde,2020-04-22,2023-05-01,Basic,15,15,2.0,60068.83
CL-55774,"Sheth, Khosla and Zachariah",2015-03-16,2023-08-01,Basic,7,7,0.0,27992.83
CL-26502,Badal-Jaggi,2016-11-25,2022-08-01,Basic,12,12,1.0,48800.07
CL-72755,"Krishnan, Nadig and D’Alia",2018-07-03,2025-02-01,Pro,25,24,1.0,195221.98
CL-58664,Tella-Dara,2018-05-19,2019-07-01,Pro,34,33,,261250.06
CL-25169,Kakar Group,2016-09-28,2017-11-01,Basic,11,11,,43385.36
CL-61490,"Ghose, Purohit and Natt",2015-01-21,2015-12-01,Basic,6,5,,20170.74
CL-75439,"Pillay, Khare and Goda",2020-07-08,2021-08-01,Basic,8,8,,32377.1
CL-41683,Manda-Kunda,2021-10-05,2022-07-01,Basic,13,13,1.0,51907.45
CL-17957,"Palla, Roy and Taneja",2016-12-28,2021-10-01,Pro,20,19,1.0,150883.99
CL-32462,"Mitter, Sen and Madan",2021-04-30,2023-04-01,Basic,12,12,2.0,48501.8
CL-47213,Srinivas-Subramanian,2014-02-01,2022-01-01,Enterprise,92,83,4.0,1224651.98
CL-57058,"Naik, Mahara jand Parmer",2014-06-19,2016-03-01,basic,11,11,,44049.6
CL-73992,Batta and Sons,2017-08-12,2025-07-01,Pro,28,27,1.0,213523.5
CL-46911,"Sabharwal, Mammen and Wason",2016-04-24,2025-08-01,Basic,6,6,1.0,23622.13
CL-71617,Chacko Ltd,2013-09-29,2014-11-01,Basic,9,9,,36373.36
CL-25169,Kakar Group,2016-09-28,2017-03-01,Basic,11,12,,47142.22
CL-24568,Ramaswamy-Thakur,2018-09-19,2024-12-01,Basic,11,10,0.0,40235.99
CL-58503,Ghose-Shah,2019-05-24,2022-12-01,Pro,33,30,2.0,243493.27
CL-37114,"Gola, Issac and Iyengar",2017-04-28,2023-08-01,Basic,12,12,5.0,47579.88
CL-61312,Comar-Sandal,2014-03-29,2022-05-01,Pro,35,36,4.0,291296.51
CL-98268,Bhavsar-Chaudhari,2019-01-29,2024-05-01,Pro,20,20,1.0,160301.03
CL-32462,"Mitter, Sen and Madan",2021-04-30,2025-09-01,Basic,12,12,1.0,48510.5
CL-93734,"Ganguly, Ramanathan and Chahal",2015-01-13,2022-10-01,Pro,29,28,1.0,228450.3
CL-42668,"Sangha, Zacharia and Mitra",2018-11-01,2022-12-01,Basic,8,8,0.0,32376.89
CL-36429,Kothari-Contractor,2015-11-05,2023-01-01,Basic,5,4,0.0,15905.73
CL-58503,Ghose-Shah,2019-05-24,2023-12-01,Pro,33,29,4.0,235673.18
CL-84661,Chana Group,2014-10-18,2018-03-01,Basic,8,8,,32555.24
CL-25427,Soni-Chakrabarti,2018-08-18,2022-06-01,Pro,22,22,4.0,173477.42
CL-17957,"Palla, Roy and Taneja",2016-12-28,2025-06-01,Pro,20,20,1.0,158374.66
CL-77504,Dugar-Dewan,2021-07-07,2022-09-01,Enterprise,54,59,3.0,894574.97
CL-51532,Kadakia and Sons,2016-11-21,2018-04-01,Basic,13,13,,52677.87
CL-17047,Parekh-Kari,2015-11-12,2024-05-01,Basic,11,11,1.0,43659.1
CL-14568,Sem Group,2020-01-30,2021-08-01,Basic,11,11,,44556.77
CL-59245,Sibal-Brahmbhatt,2018-08-24,2025-02-01,Pro,34,35,3.0,275549.58
CL-58467,Bali-Acharya,2022-03-28,2023-01-01,Pro,30,28,2.0,225199.8
CL-81288,Khare-Oak,2023-03-26,2023-09-01,Basic,12,13,2.0,52072.66
CL-14568,Sem Group,2020-01-30,2021-03-01,Basic,11,11,,44644.12
CL-68593,"Vohra, Sinha and Lala",2019-07-28,2020-10-01,Pro,21,21,,168176.38
CL-10868,Patel Inc,2015-11-19,2016-04-01,Pro,37,37,,300991.86
CL-57523,Bava-Khare,2021-12-29,2025-06-01,Basic,12,12,1.0,48557.04
CL-39250,"Chandra, Wali and Goel",2020-07-13,2021-09-01,Basic,6,6,,24316.68
CL-64372,"Kara, Venkataraman and Jha",2014-07-01,2016-08-01,Basic,12,12,,47216.9
CL-63209,Sandal PLC,2025-01-29,2025-06-01,Basic,9,9,0.0,36527.27
CL-97964,Kapoor Inc,2015-11-09,2022-09-01,Pro,35,37,6.0,300358.45
CL-10606,Ramachandran-Panchal,2018-06-22,2022-01-01,Pro,40,38,2.0,301203.57
CL-31522,"Ramesh, Prashad and Mallick",2017-09-09,2017-11-01,Basic,11,11,,44812.4
CL-73851,Atwal-Ravi,2015-04-29,2017-03-01,Enterprise,93,95,,1449868.53
CL-41702,"Chaudahri, Kalita and Bera",2014-07-22,2022-05-01,Basic ,5,5,0.0,20236.54
CL-80376,Kari and Sons,2016-01-02,2024-04-01,Basic,12,12,1.0,48158.52
CL-10606,Ramachandran-Panchal,2018-06-22,2019-09-01,Pro,40,44,,359035.14
CL-47356,Tank Ltd,2017-01-03,2019-10-01,Basic,10,10,,40629.8
CL-41702,"Chaudhari, Kalita and Bera",2014-07-22,2016-03-01,Basic,5,5,,19692.3
CL-41683,Manda-Kunda,2021-10-05,2022-01-01,Basic,13,12,1.0,47152.38
CL-82328,"Morar, Chana and Nadkarni",2016-11-16,2019-01-01,Pro,27,23,,185387.93
CL-58664,Tella-Dara,2018-05-19,2020-10-01,Pro,34,34,,268150.53
CL-96503,Sundaram PLC,2019-01-17,2021-08-01,Enterprise,63,64,,956620.2
CL-77568,Atawl LLC,2017-10-21,2020-07-01,basic,11,11,,43734.69
CL-61490,"Ghose, Purohit and Natt",2015-01-21,2024-01-01,Basic,6,5,0.0,19892.95
CL-39250,"Chandra, Wali and Goel",2020-07-13,2021-11-01,Basic,6,6,2.0,23738.78
CL-77568,Atwal LLC,2017-10-21,2024-04-01,Basic,11,11,5.0,43466.23
CL-10868,Patel Inc,2015-11-19,2023-07-01,Pro,37,37,2.0,299965.67
CL-71617,Chacko Ltd,2013-09-29,2020-04-01,Basic,9,9,,35967.9
CL-34306,"Mall, Mitra and Contractor",2014-10-07,2018-09-01,Pro,19,21,,167810.13
CL-76898,"Upadhyay, Dave and Ravi",2018-12-05,2019-08-01,Basic,11,11,,43906.85
CL-76898,"Upadhyay, Dave and Ravi",2018-12-05,2022-08-01,Basic,11,11,3.0,44145.82
CL-64587,"Bhakta, Deshmkuh and Lata",2017-04-04,2022-09-01,basic,11,12,2.0,48916.2
CL-86840,Manda Ltd,2023-03-16,2023-10-01,Pro,22,22,1.0,172721.3
CL-24168,Iyengar Group,2017-03-31,2024-02-01,Pro,26,26,1.0,204917.6
CL-72755,"Krishnan, Nadig and D’Alia",2018-07-03,2023-09-01,Pro,25,26,1.0,204344.13
CL-40270,Lall-Nadig,2016-11-21,2022-03-01,Basic,10,10,5.0,40650.04
CL-20694,Bumb Ltd,2016-08-29,2021-01-01,Pro,17,15,,119114.74
CL-55480,Mistry-Kumar,2021-04-12,2025-08-01,Pro,32,32,2.0,258042.76
CL-97100,"Sandhu, Bahl and Sandal",2019-02-19,2019-10-01,Basic,13,12,,47243.58
CL-97964,Kapoor Inc,2015-11-09,2020-01-01,Pro,35,32,,256868.17
CL-95027,Rao-Chand,2015-05-18,2019-11-01,Basic,12,11,,43258.66
CL-41800,Tiwari-Garde,2020-04-22,2020-11-01,Basic,15,15,,59581.0
CL-58467,Bali-Acharya,2022-03-28,2022-05-01,Pro,30,29,1.0,235179.14
CL-73992,Batta and Sons,2017-08-12,2022-10-01,Pro,28,27,1.0,215495.62
CL-95027,Rao-Chand,2015-05-18,2025-09-01,Basic,12,13,3.0,51738.94
CL-42668,"Sangha, Zacharia and Mitra",2018-11-01,2021-04-01,Basic,8,8,,31749.16
CL-72092,Choudhry-Mahal,2021-03-11,2023-02-01,Pro,39,39,6.0,313612.96
CL-91761,Rai-Sinha,2020-11-08,2024-12-01,Basic,15,13,1.0,51669.77
CL-26954,"Dani, Issac and Bahri",2022-05-18,2023-07-01,Basic,13,12,3.0,47169.04
CL-88571,"Narasimhan, Reddy and Dhawan",2014-12-25,2019-04-01,Basic,8,8,,31922.75
CL-61833,"Rattan, Subramanian and Pandya",2016-11-03,2019-06-01,Basic,15,16,,64710.64
CL-98268,Bhavsar-Chaudhari,2019-01-29,2019-03-01,Pro,20,22,,176738.86
CL-10868,Patel Inc,2015-11-19,2018-02-01,Pro,37,38,,304942.51
CL-56763,Chacko-Chokshi,2018-06-17,2023-05-01,Basic,13,12,2.0,47044.59
CL-29312,Grover Ltd,2022-07-26,2023-02-01,Enterprise,94,93,5.0,1412797.39
CL-99845,Chadah-Patel,2015-12-09,2019-05-01,basic,13,13,,51798.05
CL-58503,Ghose-Shah,2019-05-24,2020-06-01,Pro,33,34,,270586.04
CL-59713,More-Bhandari,2014-01-20,2019-05-01,Enterprise,48,48,,721720.17
CL-72755,"Krishnan, Nadig and D’Alia",2018-07-03,2025-03-01,Pro,25,26,1.0,207384.89
CL-36889,Sarraf Ltd,2016-10-18,2017-02-01,Pro,21,21,,167014.93
CL-10606,Ramachandran-Panchal,2018-06-22,2020-03-01,Pro,40,43,,343758.82
CL-36551,Kumer-Ganesan,2018-09-30,2020-02-01,Pro,34,35,,284940.78
CL-10606,Ramachandran-Panchal,2018-06-22,2024-05-01,Pro,40,39,3.0,313407.7
CL-64587,"Bhakta, Deshmukh and Lata",2017-04-04,2020-05-01,Basic,11,11,,44002.76
CL-85839,Kapadia and Sons,2019-09-25,2025-05-01,Basic,8,8,1.0,32542.22
CL-62756,"Sunder, Sarna and Cheema",2020-07-16,2023-06-01,Basic,15,16,2.0,62984.81
CL-95027,Rao-Chand,2015-05-18,2017-11-01,Basic,12,12,,47449.28
CL-67266,Mannan-Vig,2020-12-12,2025-02-01,Basic,10,10,0.0,39899.06
CL-36889,Sarraf Ltd,2016-10-18,2018-01-01,pro,21,19,,154617.02
CL-61004,Khatri-Borde,2022-08-30,2024-02-01,Pro,33,32,2.0,253996.18
CL-81912,Chaudhary PLC,2021-02-01,2024-04-01,Basic,13,13,2.0,52584.48
CL-63550,"Garde, Vyas and Sathe",2020-01-16,2024-12-01,Pro,23,22,1.0,175021.56
CL-36429,Kothari-Contractor,2015-11-05,2022-10-01,Basic,5,5,0.0,20193.14
CL-57058,"Naik, Maharaj and Parmer",2014-06-19,2015-08-01,Basic,11,10,,39206.48
CL-75182,Venkatesh-Kala,2020-07-08,2024-03-01,Pro,23,25,6.0,201893.04
CL-72187,"Babu, Tata and Shere",2023-08-17,2025-01-01,Basic,11,10,0.0,40231.87
CL-17957,"Palla, Roy and Taneja",2016-12-28,2017-03-01,Pro,20,21,,167407.46
CL-42668,"Sangha, Zacharia and Mitra",2018-11-01,2025-04-01,Basic,8,8,0.0,32340.39
CL-27613,Jayaraman and Sons,2024-12-16,2025-05-01,Enterprise,54,53,4.0,790848.57
CL-99845,Chadha-Patel,2015-12-09,2024-03-01,Basic,13,14,4.0,55701.49
CL-82328,"Morar, Chana and Nadkarni",2016-11-16,2024-10-01,Pro,27,26,1.0,206992.76
CL-67568,"Salvi, Brahmbhatt and Dutta",2015-02-11,2016-11-01,Pro,29,29,,229367.98
CL-41706,"Manne, Verma and Gour",2015-12-28,2024-04-01,Pro,31,31,2.0,244118.68
CL-10606,Raamchandran-Panchal,2018-06-22,2021-04-01,pro,40,39,,307655.86
CL-42668,"Sangha, Zacharia and Mitra",2018-11-01,2022-07-01,Basic,8,8,2.0,32095.85
CL-36010,"Agate, Deshpande and Kurian",2022-07-23,2022-09-01,Enterprise,69,75,5.0,1107602.4
CL-61833,"Rattan, Subramanian and Pandya",2016-11-03,2017-11-01,Basic,15,15,,60541.72
CL-57523,Bava-Khare,2021-12-29,2025-09-01,Basic,12,13,2.0,53032.56
CL-51519,"Gill, Anne and Jaggi",2020-10-07,2022-01-01,Pro,18,17,1.0,133920.27
CL-47356,Tank Ltd,2017-01-03,2018-01-01,Basic,10,9,,35448.72
CL-77568,Atwal LLC,2017-10-21,2023-02-01,Basic,11,11,1.0,43464.38
CL-43739,Khosla-Dara,2016-07-13,2018-06-01,Pro,23,24,,188555.95
CL-37071,Atwal and Sons,2016-11-03,2019-07-01,Basic,7,7,,27823.96
CL-41800,Tiwari-Garde,2020-04-22,2022-10-01,Basic,15,15,5.0,60010.88
CL-40270,Lall-Nadig,2016-11-21,2020-01-01,Basic,10,9,,35562.94
CL-63550,"Garde, Vyas and Sathe",2020-01-16,2022-02-01,Pro,23,23,1.0,180352.82
CL-31522,"Ramesh, Prashad and Mallick",2017-09-09,2022-08-01,Basic,11,11,1.0,43304.51
CL-73992,Batta and Sons,2017-08-12,2017-09-01,Pro,28,28,,227524.75
CL-92628,Palan-Jani,2015-11-18,2020-10-01,Pro,19,19,,152497.69
CL-55774,"Sheth, Khosla and Zachariah",2015-03-16,2019-10-01,Basic,7,7,,27832.93
CL-73851,Atwal-Ravi,2015-04-29,2017-08-01,Enterprise,93,88,,1303163.94
CL-41706,"Manne, Verma and Gour",2015-12-28,2021-02-01,Pro,31,31,,251460.62
CL-72755,"Krishnan, Nadig and D’Alia",2018-07-03,2023-10-01,Pro,25,25,1.0,197674.47
CL-41706,"Manne, Verma and Gour",2015-12-28,2019-07-01,Pro,31,30,,243509.61
CL-34306,"Mall, Mitra and Contractor",2014-10-07,2025-03-01,Pro,19,21,2.0,164832.33
CL-43739,Khosla-Dara,2016-07-13,2023-09-01,Pro,23,24,3.0,189659.59
CL-43739,Khosla-Dara,2016-07-13,2017-06-01,Pro,23,23,,185821.4
CL-14568,Sem Group,2020-01-30,2023-04-01,Basic,11,11,2.0,44859.85
CL-61004,Khatri-Borde,2022-08-30,2023-04-01,Pro,33,35,3.0,280993.08
CL-36429,Kothari-Contractor,2015-11-05,2019-05-01,Basic,5,5,,19962.88
CL-84275,Sathe PLC,2023-07-01,2024-08-01,Basic,6,6,1.0,24324.45
CL-40270,Lall-Nadig,2016-11-21,2025-07-01,Basic,10,10,0.0,39295.73
CL-98268,Bhavsar-Chaudhari,2019-01-29,2024-07-01,Pro,20,21,1.0,167724.69
CL-29312,Grover Ltd,2022-07-26,2024-08-01,Enterprise,94,97,9.0,1432991.88
CL-56738,Keer-Som,2024-11-13,2025-01-01,Basic,7,6,0.0,23567.73
CL-85839,Kapadia and Sons,2019-09-25,2020-12-01,Basic,8,7,,27515.47
CL-20694,Bumb Ltd,2016-08-29,2018-12-01,Pro,17,15,,119644.64
CL-61312,Comar-Sandal,2014-03-29,2018-07-01,Pro,35,36,,286001.52
CL-19522,"Gera, Char and Raj",2016-03-13,2021-04-01,Pro,38,37,,301452.3
CL-76329,Tiwari LLC,2017-10-19,2019-12-01,Basic,6,6,,23880.92
CL-72092,Choudhry-Mahal,2021-03-11,2021-08-01,Pro,39,39,,315464.22
CL-19522,"Gera, Char and Raj",2016-03-13,2018-03-01,Pro,38,40,,318173.47
CL-72187,"Babu, Tata and Shere",2023-08-17,2024-09-01,Basic,11,11,1.0,43351.94
CL-40270,Lall-Nadig,2016-11-21,2020-09-01,Basic,10,10,,39701.17
CL-22205,Boase-Vohra,2016-06-15,2017-10-01,Enterprise,91,95,,1442622.63
CL-99845,Chadha-Patel,2015-12-09,2017-06-01,Basic,13,13,,53001.23
CL-37071,Atwal and Sons,2016-11-03,2022-06-01,Basic,7,7,4.0,27883.33
CL-51519,"Gill, Anne and Jaggi",2020-10-07,2024-01-01,Pro,18,16,1.0,127476.57
CL-42668,"Sangha, Zacharia and Mitra",2018-11-01,2018-12-01,Basic,8,8,,31840.57
CL-64897,"Narang, Doshi and Pillay",2016-04-18,2017-04-01,Enterprise,63,64,,962160.92
CL-10868,Patel Inc,2015-11-19,2020-02-01,Pro,37,36,,291735.49
CL-40503,"Ghosh, Hans and Patil",2022-02-12,2022-08-01,Basic,14,14,1.0,55453.73
CL-36889,SarrafL td,2016-10-18,2020-05-01,Pro ,21,21,,166309.73
CL-85839,Kapadia and Sons,2019-09-25,2021-01-01,Basic,8,7,,27765.92
CL-57058,"Naik, Maharaj and Parmer",2014-06-19,2017-07-01,Basic,11,11,,43232.12
CL-92628,Palan-Jani,2015-11-18,2025-01-01,Pro,19,17,1.0,137651.5
CL-62756,"Sunder, Sarna and Cheema",2020-07-16,2021-01-01,Basic,15,14,,56380.84
CL-43739,Khosla-Dara,2016-07-13,2022-07-01,Pro,23,22,2.0,175141.02
CL-36429,Kothari-Contractor,2015-11-05,2018-07-01,Basic,5,5,,19636.55
CL-71617,Chacko Ltd,2013-09-29,2016-11-01,Basic,9,9,,36241.72
CL-72280,Nazareth Group,2021-12-23,2025-04-01,Pro,26,27,1.0,211943.38
CL-41683,Manda-Kunda,2021-10-05,2022-11-01,Basic,13,14,1.0,56826.4
CL-76329,Tiwari LLC,2017-10-19,2024-08-01,Basic,6,6,0.0,24083.5
CL-51132,"Warrior, Yohannan and Dada",2018-12-28,2022-06-01,Basic,5,5,0.0,19845.51
CL-24568,Ramaswamy-Thakur,2018-09-19,2022-02-01,Basic,11,11,3.0,44138.26
CL-84275,Sathe PLC,2023-07-01,2023-09-01,Basic,6,6,0.0,24147.15
CL-76329,Tiwari LLC,2017-10-19,2025-09-01,Basic,6,6,1.0,23973.01
CL-93734,"Ganguly, Ramanathan and Chahal",2015-01-13,2016-11-01,Pro,29,29,,234141.01
CL-97964,Kapoor Inc,2015-11-09,2025-07-01,Pro,35,34,2.0,273646.83
CL-55774,"Sheth, Khosla and Zachariah",2015-03-16,2016-11-01,Basic,7,7,,28187.89
CL-41702,"Chaudhari, Kalita and Bera",2014-07-22,2021-06-01,Basic,5,5,,20317.37
CL-17047,Parekh-Kari,2015-11-12,2025-03-01,Basic,11,11,3.0,43621.86
CL-64897,"Narang, Doshi and Pillay",2016-04-18,2024-12-01,Enterprise,63,58,4.0,865951.43
CL-91913,"Datta, Mishra and Kala",2015-02-26,2017-06-01,Basic,10,11,,44542.25
CL-64492,Om Group,2019-01-19,2021-06-01,Pro,19,19,,151416.0
CL-72755,"Krishnan, Nadig and D’Alia",2018-07-03,2020-07-01,Pro,25,26,,208673.48
CL-97100,"Sandhu, Bahl and Sandal",2019-02-19,2023-07-01,Basic,13,13,2.0,51677.86
CL-43739,Khosla-Dara,2016-07-13,2023-02-01,Pro,23,23,2.0,181558.39
CL-41683,Manda-Kunda,2021-10-05,2022-06-01,Basic,13,14,2.0,56751.83
CL-26502,Badal-Jaggi,2016-11-25,2021-07-01,Basic,12,12,,47821.62
CL-61312,Comar-Sandal,2014-03-29,2019-05-01,Pro,35,35,,280088.27
CL-59713,More-Bhandari,2014-01-20,2014-07-01,Enterprise,48,48,,707117.22
CL-85839,Kapadia and Sons,2019-09-25,2023-08-01,Basic,8,8,0.0,32037.54
CL-76898,"Upadhyay, Dave and Ravi",2018-12-05,2023-10-01,Basic,11,11,2.0,43937.71
CL-97964,Kapoor Inc,2015-11-09,2020-10-01,Pro,35,34,,267011.88
CL-10868,Patel Inc,2015-11-19,2025-08-01,Pro,37,37,2.0,292766.11
CL-37114,"Gola, Issac and Iyengar",2017-04-28,2022-06-01,Basic,12,13,2.0,52240.27
CL-66584,Bhasin-Rastogi,2022-05-01,2023-07-01,Enterprise,86,89,4.0,1310747.85
CL-64492,Om Group,2019-01-19,2020-01-01,Pro,19,17,,133751.93
CL-55774,"Sheth, Khosla and Zachariah",2015-03-16,2016-10-01,Basic,7,7,,28375.87
CL-19522,"Gear, Char and Raj",2016-03-13,2023-02-01,pro,38,38,2.0,308476.47
CL-91913,"Datta, Mishra and Kala",2015-02-26,2021-12-01,Basic,10,9,3.0,36090.29
CL-13321,"Taneja, Acharya and Thaman",2014-08-11,2024-07-01,Pro,38,37,2.0,297721.07
CL-37188,Rege PLC,2020-02-18,2021-09-01,Basic,13,13,,52940.43
CL-41706,"Manne, Verma and Gour",2015-12-28,2016-12-01,Pro,31,29,,228912.4
CL-37071,Atwal and Sons,2016-11-03,2021-01-01,Basic,7,7,,27701.13
CL-54011,Chacko-Korpal,2019-03-21,2021-11-01,Basic,11,11,3.0,44119.38
CL-42668,"Sangha, Zacharia and Mitra",2018-11-01,2024-01-01,Basic,8,7,0.0,28282.36
CL-32462,"Mitter, Sen and Madan",2021-04-30,2023-08-01,Basic,12,12,1.0,48800.97
CL-24337,Vig-Sangha,2016-10-13,2023-09-01,Pro,32,33,2.0,263457.4
CL-34102,"Dubey, Sarraf and Gala",2015-10-09,2025-08-01,Pro,28,27,1.0,214006.09
CL-83431,"Pal, Zachariah and Madan",2015-09-17,2023-02-01,Enterprise,76,78,4.0,1173340.4
CL-64372,"Kara, Venkataraman and Jha",2014-07-01,2016-09-01,Basic,12,13,,51632.34
CL-14840,"Mistry, Yogi and Arora",2017-01-11,2017-02-01,Basic,13,12,,47066.25
CL-47213,Srinivas-Subramanian,2014-02-01,2021-04-01,Enterprise,92,92,,1372512.07
CL-36551,Kumer-Ganesan,2018-09-30,2022-06-01,Pro,34,35,3.0,284450.67
CL-14840,"Mistry, Yogi and Arora",2017-01-11,2022-04-01,Basic,13,13,2.0,51075.97
CL-97751,"Sura, Gara and Warrior",2021-03-31,2023-04-01,Basic,9,9,1.0,35507.51
CL-24885,"Sawhney, Kale and Gala",2024-09-14,2024-12-01,Basic,15,13,1.0,51905.1
CL-55774,"Sheth, Khosla and Zachariah",2015-03-16,2021-01-01,Basic,7,6,,24381.41
CL-83431,"Pal, Zachariah and Madan",2015-09-17,2021-08-01,Enterprise,76,73,,1094302.1
